COUNTRY,LT_MONTH,TOTAL_USERS
CL,2029-07-01,114662742.36879063
CL,2029-08-01,116710773.97939311
CL,2029-09-01,114706204.34268351
CL,2029-10-01,116149380.99936013
CL,2029-11-01,115936135.7204253
CL,2029-12-01,120475156.83413476
CL,2030-01-01,119492972.59385115
CL,2030-02-01,110137850.96970005
CL,2030-03-01,124976545.77401605
CL,2030-04-01,118181730.82170308
CL,2030-05-01,124564036.82409362
CL,2030-06-01,122367707.21350652
CL,2030-07-01,123896165.35609236
CL,2030-08-01,128544939.93018864
CL,2030-09-01,123231076.70328523
CL,2030-10-01,127028215.57206051
CL,2030-11-01,127068537.83851688
CL,2030-12-01,128928220.57688862
CO,2015-08-01,43.0
CO,2015-09-01,116.0
CO,2015-10-01,183.0
CO,2015-11-01,273.0
CO,2015-12-01,298.0
CO,2016-01-01,389.0
CO,2016-02-01,455.0
CO,2016-03-01,532.0
CO,2016-04-01,595.0
CO,2016-05-01,676.0
CO,2016-06-01,657.0
CO,2016-07-01,652.0
CO,2016-08-01,771.0
CO,2016-09-01,1116.0
CO,2016-10-01,1518.0
CO,2016-11-01,1537.0
CO,2016-12-01,1399.0
CO,2017-01-01,1568.0
CO,2017-02-01,1858.0
CO,2017-03-01,1977.0
CO,2017-04-01,2232.0
CO,2017-05-01,2478.0
CO,2017-06-01,2548.0
CO,2017-07-01,2597.0
CO,2017-08-01,3128.0
CO,2017-09-01,3231.0
CO,2017-10-01,3579.0
CO,2017-11-01,3860.0
CO,2017-12-01,3850.0
CO,2018-01-01,3912.0
CO,2018-02-01,4603.0
CO,2018-03-01,5762.0
CO,2018-04-01,6366.0
CO,2018-05-01,6646.0
CO,2018-06-01,7440.0
CO,2018-07-01,8582.0
CO,2018-08-01,8950.0
CO,2018-09-01,9632.0
CO,2018-10-01,10912.0
CO,2018-11-01,12282.0
CO,2018-12-01,11033.0
CO,2019-01-01,12097.0
CO,2019-02-01,14436.0
CO,2019-03-01,16100.0
CO,2019-04-01,18343.0
CO,2019-05-01,20509.0
CO,2019-06-01,21543.0
CO,2019-07-01,24016.0
CO,2019-08-01,28520.0
CO,2019-09-01,27164.0
CO,2019-10-01,20183.0
CO,2019-11-01,24307.0
CO,2019-12-01,19449.0
CO,2020-01-01,19357.0
CO,2020-02-01,21547.0
CO,2020-03-01,21460.0
CO,2020-04-01,24909.0
CO,2020-05-01,26520.0
CO,2020-06-01,31389.0
CO,2020-07-01,33937.0
CO,2020-08-01,37450.0
CO,2020-09-01,30657.0
CO,2020-10-01,29314.0
CO,2020-11-01,28671.0
CO,2020-12-01,27571.0
CO,2021-01-01,28350.0
CO,2021-02-01,26727.0
CO,2021-03-01,30301.0
CO,2021-04-01,32649.0
CO,2021-05-01,30588.0
CO,2021-06-01,34484.0
CO,2021-07-01,28931.0
CO,2021-08-01,29405.0
CO,2021-09-01,30717.0
CO,2021-10-01,27050.0
CO,2021-11-01,24518.0
CO,2021-12-01,24801.0
CO,2022-01-01,23825.0
CO,2022-02-01,24666.0
CO,2022-03-01,26939.0
CO,2022-04-01,27944.0
CO,2022-05-01,29252.0
CO,2022-06-01,27979.0
CO,2022-07-01,29252.0
CO,2022-08-01,30107.0
CO,2022-09-01,31093.0
CO,2022-10-01,32324.0
CO,2022-11-01,32607.0
CO,2022-12-01,33206.0
CO,2023-01-01,31868.0
CO,2023-02-01,31469.0
CO,2023-03-01,33102.0
